Arrays,,,,
,,,,
12th April,,,,
smallest range from k lists,smallest from k lists,,,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/
,,,,
17th May,,,,
KMP,KMP,Logic,https://reducedcomplexity.wordpress.com/2019/02/22/knuth-morris-prattkmp-pattern-searching-algorithm/,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-interview-prep/text-processing/kmp-pattern-searching-official/ojquestion
Shortest Palindrome,shortest-palindrome,Logic,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-interview-prep/text-processing/shortest-palindrome-official/ojquestion
Z algo,Z algo,Logic,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-interview-prep/text-processing/z-algorithm-for-pattern-searching-official/ojquestion
chef and secret password,Chef and secret password,Logic,,https://www.codechef.com/COOK103B/problems/SECPASS
,,,,
Recursion and backtracking,,,,
18th May,,,,
Permutation 1,Permutation 1,Done,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/permutation-i-official/ojquestion
Combinations 2,Combinations 2,Done,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/combinations-2-official/ojquestion
permutations 2,permutations 2,Done,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/permutations-ii-official/ojquestion
Combination 1,Combination 1,Done,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/combinations-i-official/ojquestion
queens combination 2d as 2d - box chooses,queens combination 2d as 2d - box chooses,Done,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/queens-combinations-2das2d-box-chooses-official/ojquestion
queens permutations 2d as 2d - box chooses,queens permutations 2d as 2d - box chooses,Done,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/queens-permutations-2das2d-box-chooses-official/ojquestion
queens permutations 2d as 2d - queen chooses,queens permutations 2d as 2d - queen chooses,HW,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/queens-permutations-2das2d-queen-chooses-official/ojquestion
queens combinations 2d as 2d - queen chooses,queens combinations 2d as 2d - queen chooses,HW,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/queens-combinations-2das2d-official/ojquestion
,,,,
19th May,,,,
queens combination - 2d as 1d - queen chooses,,,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/queens-combinations-2das1d-queen-chooses-official/ojquestion
Nqueens Combinations 2d as 1d - queen chooses,Nqueens Combinations 2d as 1d - queen chooses,,,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/level-2/nqueens-combinations-2das1d-queen-chooses-official/ojquestion
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Trees,,,,
1st June,,,,
Preorder Traversal,Preorder traversal,Done,,https://leetcode.com/problems/binary-tree-preorder-traversal/
Inorder Traversal,Inorder traversal,Done,,https://leetcode.com/problems/binary-tree-inorder-traversal/
Postorder Traversal,Postorder traversal,Logic,,https://leetcode.com/problems/binary-tree-postorder-traversal/
right side view,right view,Logic,,https://leetcode.com/problems/binary-tree-right-side-view/
Left View,Left view,Logic,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/trees/top-view-of-a-binarytree/ojquestion,https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1
reverse level order,reverse level order,,,https://www.geeksforgeeks.org/reverse-level-order-traversal/
Top View,Top view,Done,,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1
Bottom View,Bottom view,Done,,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1
,,,,
2nd June,,,,
